ekscion.3.d.daedric;Хотя я могу не смотреть на это, но в моих венах я чувствую запах даэдра. В течение многих лет я хранил эту информацию в тайне, делясь ею, чтобы отменить всю работу моей жизни. [From.GetFirstName], мой ребенок, тоже несет в себе этот порок, но они этого еще не знают. Я мог бы поделиться этим секретом с ними, но могу ли я быть уверен, что они тоже его сохранят?;;;;;;;;;;;;;x
ekscion.3.d.vampiric;Хотя я не могу смотреть на это, я - потомок проклятого вампира и несу их порчу в моей крови. В течение многих лет я держал эту информацию для себя, но поделиться ею может привести к моему собственному падению. [From.GetFirstName], мой ребенок, также несет в себе этот порок, но они все еще не знают об этом. Я мог бы поделиться этим секретом с ними, но могу ли я быть уверен, что они тоже его сохранят?;;;;;;;;;;;;;x
ekscion.3.d.both;LOC MISSING: На самом деле не думал, что это произойдет, будучи вампиром и даэдрическим наследником.;;;;;;;;;;;;;x
ekscion.3.d.vampire;Мой ребенок, [From.GetFirstName], достиг совершеннолетия. Он еще не знает, что я вампир и что он несет в своих жилах элемент моей собственной порчи. Разглашение этой тайны может привести к моему собственному разрушению, но это также может укрепить нашу связь.;;;;;;;;;;;;;x
ekscion.3.d.somethingwentwrong;Что-то пошло не так, и вы видите что-то, чего не должны.\nВероятно, вы должны сообщить об этом команде на Discord.\nОШИБКА в: ekscion.3;;;;;;;;;;;;;;;;;;;;;;;;;x
ekscion.3.opt1;Я скажу своему ребенку, кто и что на самом деле.;;;;;;;;;;;;;x
ekscion.3.opt1.ct;Вы рассказываете [From.GetFirstName] о его наследии.;;;;;;;;;;;;;x
ekscion.3.opt2;Будет лучше, если я оставлю это при себе.;;;;;;;;;;;;;x
ekscion.3.opt2.ct;[From.GetFirstName] не будет рассказано об их наследии.;;;;;;;;;;;;;x
ekscion.4.d.vampiric;Когда [From.GetFirstName] попросил вас присоединиться к нему для личного разговора в своих покоях, вы не ожидали узнать от него о скверне в вашей крови. [From.GetFirstName] - потомок вампира, и как и его ребенок, вы тоже.;;;;;;;;;;;;;x
ekscion.4.d.vampiric;Когда [From.GetFirstName] попросил вас присоединиться к нему для личного разговора в своих покоях, вы не ожидали узнать от него о скверне в вашей крови. [From.GetFirstName] - вампир, и, будучи его ребенком, вы несете в себе его испорченную кровь.;;;;;;;;;;;;;x
ekscion.4.d.daedric;Когда [From.GetFirstName] попросил вас присоединиться к нему для частного обсуждения в их камерах, вы не ожидали узнать от него о скверне в вашей крови. [From.GetFirstName] является потомком даэдрического существа, и вы, как его ребенок, тоже.;;;;;;;;;;;;;x
ekscion.4.opt.positive;Ок.;;;;;;;;;;;;;x
ekscion.4.opt.negative;Черт.;;;;;;;;;;;;;x
ekscion.5.d;Темные голоса шепчут вам из тьмы, они шепчут историю о ребенке, рожденном в союзе даэдра и смертного. Вы чувствуете в яме своего желудка гнетущую, извивающую хватку страха и восторга. Так или иначе, вы знаете, что вы ребенок. На короткое время из тени вы уверены, что видите, как лицо [From.GetFirstName] ухмыляется вам, но когда вы сужаете глаза, чтобы сосредоточиться на призраке, оно исчезает в черном.;;;;;;;;;;;;;x
ekscion.5.opt;Я Дитя Обливиона ... почему-то я всегда это знал.;;;;;;;;;;;;;x
